arduino;Arduino
avrisp;Atmel AVR ISP
avrispv2;Atmel AVR ISP V2
avrispmkII;Atmel AVR ISP mkII
avrisp2;Atmel AVR ISP mkII
stk500;Atmel STK500
stk500v1;Atmel STK500 Version 1.x firmware
mib510;Crossbow MIB510 programming board
stk500v2;Atmel STK500 Version 2.x firmware
stk500pp;Atmel STK500 V2 in parallel programming mode
stk500hvsp;Atmel STK500 V2 in high-voltage serial programming mode
stk600;Atmel STK600
stk600pp;Atmel STK600 in parallel programming mode
stk600hvsp;Atmel STK600 in high-voltage serial programming mode
avr910;Atmel Low Cost Serial Programmer
usbasp;USBasp, http://www.fischl.de/usbasp/
usbtiny;USBtiny simple USB programmer, http://www.ladyada.net/make/usbtinyisp/
butterfly;Atmel Butterfly Development Board
avr109;Atmel AppNote AVR109 Boot Loader
avr911;Atmel AppNote AVR911 AVROSP
jtagmkI;Atmel JTAG ICE (mkI)
jtag1;Atmel JTAG ICE (mkI)
jtag1slow;Atmel JTAG ICE (mkI)
jtagmkII;Atmel JTAG ICE mkII
jtag2slow;Atmel JTAG ICE mkII
jtag2fast;Atmel JTAG ICE mkII
jtag2;Atmel JTAG ICE mkII
jtag2isp;Atmel JTAG ICE mkII in ISP mode
jtag2dw;Atmel JTAG ICE mkII in debugWire mode
dragon_jtag;Atmel AVR Dragon in JTAG mode
dragon_isp;Atmel AVR Dragon in ISP mode
dragon_pp;Atmel AVR Dragon in PP mode
dragon_hvsp;Atmel AVR Dragon in HVSP mode
dragon_dw;Atmel AVR Dragon in debugWire mode
pavr;Jason Kyle's pAVR Serial Programmer
bsd;Brian Dean's Programmer, http://www.bsdhome.com/avrdude/
stk200;STK200
pony-stk200;Pony Prog STK200
dt006;Dontronics DT006
bascom;Bascom SAMPLE programming cable
alf;Nightshade ALF-PgmAVR, http://nightshade.homeip.net/
sp12;Steve Bolt's Programmer
picoweb;Picoweb Programming Cable, http://www.picoweb.net/
abcmini;ABCmini Board, aka Dick Smith HOTCHIP
futurlec;Futurlec.com programming cable.
xil;Xilinx JTAG cable
dapa;Direct AVR Parallel Access cable
atisp;AT-ISP V1.1 programming cable for AVR-SDK1 from <http://micro-research.co.th/> micro-research.co.th
ere-isp-avr;ERE ISP-AVR <http://www.ere.co.th/download/sch050713.pdf>
blaster;Altera ByteBlaster
frank-stk200;Frank STK200
89isp;Atmel at89isp cable
ponyser;design ponyprog serial, reset=!txd sck=rts mosi=dtr miso=cts
siprog;Lancos SI-Prog <http://www.lancos.com/siprogsch.html>
dasa;serial port banging, reset=rts sck=dtr mosi=txd miso=cts
dasa3;serial port banging, reset=!dtr sck=rts mosi=txd miso=cts
c2n232i;serial port banging, reset=dtr sck=!rts mosi=!txd miso=!cts
