*	servo	id	speed	accel	pos_min	pos_max
#	wrist	0	50	50	1200	2000
#	camera	1	0	0	992	2000
#	elbow	2	6	3	1248	2000
#	shoulder 	3	6	3	992	1888
#	base	4	4	51	992	2000

* Comments are any lines without a # [configure motor] or a ! [Frame]

! 	1504	1741	1627	1467	1316	2
! 	1337	1601	1317	1502	1722	2
! 	1245	1536	1868	1189	1163	2
! 	1756	1817	1221	1933	1471	2
!	1729	1016	1697	1935	1722	2
!	1100	1375	1557	1719	1552	2
!	1233	1576	1409	1513	1425	2
!	1489	1062	1072	1298	1504	2
!	1598	1600	1101	1954	1082	2
!	1388	1499	1721	1478	1497	2
!	1613	1670	1452	1391	1507	2
!	1206	1063	1270	1153	1277	2
!	1090	1058	1451	1261	1478	2
!	1288	1223	1010	1157	1812	2
!	1918	1370	1093	1355	1281	2
!	1718	1029	1551	1069	1427	2
!	1133	1457	1580	1150	1935	2
!	1867	1688	1788	1364	1746	2
!	1953	1385	1614	1410	1465	2
!	1706	1866	1250	1198	2000	2
!	1755	1017	1105	1917	1165	2
!	1500	1968	1569	1600	1257	2
!	1971	1784	1601	1287	1074	2
!	1050	1753	1093	1854	1715	2
!	1699	1223	1650	1250	1506	2
!	1245	1537	1744	1501	1632	2
!	1541	1798	1719	1297	1603	2
!	1127	1891	1351	1181	1735	2
!	1529	1775	1525	1905	1811	2
!	1303	1584	1239	1714	1065	2
!	1226	1593	1795	1846	1357	2
!	1798	1701	1663	1385	1789	2
!	1299	1815	1712	1472	1927	2
!	1320	1221	1684	1723	1144	2
!	1347	1534	1453	1643	1041	2
!	1281	1866	1307	1172	1222	2
!	1100	1857	1107	1478	1195	2
!	1323	1386	1049	1327	1376	2
!	1887	1864	1932	1148	1225	2
!	1456	1250	1399	1205	1782	2

!end
